poliza_id,anio_suscripcion,numero_renovacion,poliza_original_id,poliza_status,edad_conductor,experiencia_anos,score_crediticio,genero,estado,codigo_postal,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,ano_vehiculo,canal_venta,fecha_inicio,fecha_vencimiento,exposicion,suma_asegurada,prima_neta
16,2020,0,NA,Vigente,39,21,461,F,Coahuila,28441,Nissan,Versa,Sedan,2007,Directo,2020-06-16,2021-06-16,1,90200,1964.7246072783603
17,2020,0,NA,Vigente,29,8,681,M,Jalisco,46141,Nissan,Sentra,Sedan,2011,Agente,2020-01-18,2021-01-18,1,152949,2699.7865865935796
18,2020,0,NA,Vigente,25,4,642,M,Jalisco,53001,Chevrolet,Aveo,Sedan,2011,Agente,2020-07-18,2021-07-18,1,87084,2492.282029708897
19,2020,0,NA,Vigente,38,20,623,F,Coahuila,27846,Toyota,Corolla,Sedan,2011,Agente,2020-12-24,2021-12-24,1,174214,2170.703992008787
20,2020,0,NA,No Renovada,35,16,661,M,Estado de Mexico,56098,Chevrolet,Equinox,SUV,2009,Agente,2020-08-17,2021-08-17,1,180768,3588.8473581830353
21,2020,0,NA,No Renovada,33,15,695,F,Jalisco,44647,Chevrolet,Equinox,SUV,2010,Agente,2020-01-08,2021-01-08,1,229187,3515.4030426393065
22,2020,0,NA,Vigente,36,18,573,F,Ciudad de Mexico,01639,Hyundai,Accent,Sedan,2015,Agente,2020-12-04,2021-12-04,1,137987,2851.002885781209
23,2020,0,NA,Vigente,32,14,631,F,Tamaulipas,88714,Mazda,Mazda3,Sedan,2012,Directo,2020-08-22,2021-08-22,1,149256,2321.825439294039
24,2020,0,NA,Vigente,25,7,580,M,Estado de Mexico,56637,Mazda,Mazda3,Sedan,2016,Agente,2020-11-24,2021-11-24,1,203483,3372.200124088984
25,2020,0,NA,Vigente,40,21,745,M,Coahuila,26507,Toyota,Yaris,Hatchback,2011,Agente,2020-01-19,2021-01-19,1,116786,1842.5757666572285
26,2020,0,NA,No Renovada,32,14,662,M,Puebla,80067,Mazda,Mazda3,Sedan,2012,Agente,2020-11-26,2021-11-26,1,154233,2335.039648877475
27,2020,0,NA,No Renovada,20,2,754,F,Baja California,28570,Ford,Fiesta,Hatchback,2013,Agente,2020-02-02,2021-02-02,1,126185,2515.82642921349
28,2020,0,NA,Vigente,43,22,660,F,Estado de Mexico,56447,Nissan,Versa,Sedan,2013,Agente,2020-08-03,2021-08-03,1,183737,3001.514125107625
29,2020,0,NA,Vigente,33,14,752,M,Jalisco,45640,Nissan,March,Hatchback,2012,Agente,2020-04-27,2021-04-27,1,123875,2367.052116579801
30,2020,0,NA,Vigente,42,21,546,F,Michoacan,59092,Volkswagen,Polo,Hatchback,2012,Banco,2020-10-16,2021-10-16,1,155160,1927.435252594543
31,2020,0,NA,No Renovada,42,24,754,M,Nuevo Leon,69852,Toyota,Corolla,Sedan,2008,Agente,2020-11-08,2021-11-08,1,210082,2612.0628580240164
32,2020,0,NA,Vigente,23,5,594,M,Coahuila,31664,Volkswagen,Jetta,Sedan,2015,Agente,2020-10-02,2021-10-02,1,226314,3097.0818556791983
33,2020,0,NA,No Renovada,31,13,748,F,Jalisco,47166,Volkswagen,Vento,Sedan,2009,Banco,2020-04-20,2021-04-20,1,139548,2658.461058884488
34,2020,0,NA,Vigente,50,32,598,F,Coahuila,28148,Volkswagen,Vento,Sedan,2014,Agente,2020-07-17,2021-07-17,1,193535,2660.04178559319
35,2020,0,NA,Vigente,41,22,570,M,Nuevo Leon,66815,Volkswagen,Jetta,Sedan,2014,Agente,2020-03-24,2021-03-24,1,196648,2575.25637792762
36,2020,0,NA,Vigente,35,17,634,F,Coahuila,30575,Chevrolet,Aveo,Sedan,2015,Directo,2020-09-08,2021-09-08,1,133831,2073.2989316121166
37,2020,0,NA,Vigente,30,12,754,F,Baja California,30689,Nissan,Versa,Sedan,2014,Agente,2020-02-05,2021-02-05,1,195732,2444.1044835232196
38,2020,0,NA,No Renovada,49,31,718,F,Ciudad de Mexico,06003,Volkswagen,Vento,Sedan,2007,Digital,2020-01-14,2021-01-14,1,123227,2801.6026478531226
39,2020,0,NA,Vigente,31,12,NA,F,Coahuila,25172,Volkswagen,Jetta,Sedan,2008,Directo,2020-03-26,2021-03-26,1,193412,2438.0505660638537
40,2020,0,NA,No Renovada,41,21,525,M,Nuevo Leon,71253,Volkswagen,Polo,Hatchback,2010,Directo,2020-03-23,2021-03-23,1,118434,2137.786355959419
41,2020,0,NA,Vigente,40,22,625,M,Coahuila,28480,Mazda,Mazda3,Sedan,2009,Agente,2020-01-08,2021-01-08,1,109609,2013.6279327655527
42,2020,0,NA,Vigente,37,18,608,F,Coahuila,34528,Volkswagen,Jetta,Sedan,2009,Agente,2020-11-06,2021-11-06,1,135265,2076.7961184286055
43,2020,0,NA,Vigente,18,0,628,M,Coahuila,27896,Volkswagen,Vento,Sedan,2010,Agente,2020-02-02,2021-02-02,1,129691,2785.296666234207
44,2020,0,NA,Vigente,34,16,646,F,Jalisco,48459,Volkswagen,Polo,Hatchback,2009,Agente,2020-09-25,2021-09-25,1,114928,2341.546204377999
45,2020,0,NA,No Renovada,37,18,690,F,Estado de Mexico,55272,Ford,EcoSport,SUV,2014,Directo,2020-05-18,2021-05-18,1,216097,3726.2824374815523
46,2020,0,NA,Vigente,20,2,605,F,Coahuila,34017,Volkswagen,Jetta,Sedan,2013,Agente,2020-05-12,2021-05-12,1,230673,3110.920823377272
47,2020,0,NA,Vigente,38,20,649,M,Coahuila,32235,Kia,Rio,Sedan,2011,Agente,2020-07-26,2021-07-26,1,87153,1956.927368759753
48,2020,0,NA,No Renovada,29,11,700,F,Coahuila,26053,Chevrolet,Aveo,Sedan,2011,Agente,2020-12-20,2021-12-20,1,91054,2163.5936384226297
49,2020,0,NA,Vigente,34,15,NA,M,Coahuila,27677,Chevrolet,Equinox,SUV,2014,Directo,2020-08-31,2021-08-31,1,217490,2999.691842896005
50,2020,0,NA,Vigente,33,15,707,M,Ciudad de Mexico,09445,Volkswagen,Jetta,Sedan,2010,Directo,2020-11-23,2021-11-23,1,201670,3365.741417592366
51,2020,0,NA,No Renovada,31,9,580,F,Jalisco,44295,Toyota,Corolla,Sedan,2010,Banco,2020-06-25,2021-06-25,1,185024,2797.6185640253775
52,2020,0,NA,Vigente,26,8,NA,M,Sonora,85582,Volkswagen,Vento,Sedan,2013,Agente,2020-01-28,2021-01-28,1,176475,2393.713607876421
53,2020,0,NA,Vigente,38,19,653,F,Veracruz,95271,Honda,City,Sedan,2008,Banco,2020-03-01,2021-03-01,1,132150,2069.194952767404
54,2020,0,NA,Vigente,36,18,603,M,Chihuahua,35586,Mazda,Mazda3,Sedan,2012,Agente,2020-12-01,2021-12-01,1,171250,2163.618652039723
55,2020,0,NA,Vigente,23,5,595,M,Michoacan,64943,Volkswagen,Vento,Sedan,2012,Directo,2020-04-12,2021-04-12,1,140105,2819.576504979732
56,2020,0,NA,Vigente,32,11,745,F,Nuevo Leon,66672,Toyota,Corolla,Sedan,2016,Agente,2020-03-10,2021-03-10,1,314295,3183.72875060292
57,2020,0,NA,No Renovada,30,12,714,F,Estado de Mexico,55502,Honda,Civic,Sedan,2008,Agente,2020-12-12,2021-12-12,1,180867,3291.375652477416
58,2020,0,NA,Vigente,26,8,608,F,Puebla,76271,Nissan,March,Hatchback,2013,Directo,2020-07-30,2021-07-30,1,121947,2039.5398496020418
59,2020,0,NA,Vigente,37,19,607,F,Coahuila,29269,Volkswagen,Polo,Hatchback,2014,Agente,2020-02-04,2021-02-04,1,168391,1956.2595935793097
60,2020,0,NA,Vigente,25,6,NA,M,Ciudad de Mexico,07108,Hyundai,Accent,Sedan,2016,Banco,2020-05-28,2021-05-28,1,129436,3104.6935103126843
61,2020,0,NA,Vigente,31,9,692,F,Coahuila,34802,Chevrolet,Equinox,SUV,2016,Agente,2020-05-21,2021-05-21,1,284644,3207.2458029022036
62,2020,0,NA,Vigente,33,15,NA,M,Guanajuato,43150,Volkswagen,Vento,Sedan,2016,Agente,2020-10-15,2021-10-15,1,160058,2350.462855595294
63,2020,0,NA,Vigente,49,30,571,M,Coahuila,28848,Chevrolet,Aveo,Sedan,2014,Agente,2020-06-21,2021-06-21,1,118281,2035.1348373719754
64,2020,0,NA,Vigente,18,0,631,M,Coahuila,28423,Volkswagen,Polo,Hatchback,2014,Agente,2020-02-18,2021-02-18,1,137783,2550.525039251683
65,2020,0,NA,Vigente,33,14,660,M,Estado de Mexico,57242,Toyota,Corolla,Sedan,2014,Directo,2020-03-31,2021-03-31,1,238026,3494.7047871210943
66,2020,0,NA,Vigente,36,18,590,M,Coahuila,33472,Kia,Rio,Sedan,2009,Agente,2020-03-02,2021-03-02,1,101881,1994.2980661551414
67,2020,0,NA,Vigente,31,13,689,M,Coahuila,27337,Ford,EcoSport,SUV,2012,Agente,2020-03-03,2021-03-03,1,200241,2945.916326536009
68,2020,0,NA,Vigente,33,15,687,M,Nuevo Leon,67093,Chevrolet,Equinox,SUV,2014,Agente,2020-11-02,2021-11-02,1,290980,3736.200572887922
69,2020,0,NA,Vigente,33,15,639,F,Estado de Mexico,53282,Toyota,Yaris,Hatchback,2013,Directo,2020-05-11,2021-05-11,1,162179,2924.3475089253066
70,2020,0,NA,Vigente,39,21,697,F,Baja California,24596,Honda,Civic,Sedan,2014,Directo,2020-01-23,2021-01-23,1,283798,2428.678910624471
71,2020,0,NA,Vigente,28,9,636,M,Coahuila,31490,Volkswagen,Jetta,Sedan,2015,Banco,2020-11-10,2021-11-10,1,215408,2495.2876936124653
72,2020,0,NA,Vigente,32,14,NA,M,Estado de Mexico,51851,Volkswagen,Jetta,Sedan,2007,Directo,2020-01-01,2021-01-01,1,137135,3132.981781106059
73,2020,0,NA,Vigente,32,11,667,M,Ciudad de Mexico,10542,Honda,City,Sedan,2018,Digital,2020-04-14,2021-04-14,1,198470,3354.333463180354
74,2020,0,NA,Vigente,29,11,605,F,Coahuila,34986,Toyota,Corolla,Sedan,2012,Banco,2020-06-03,2021-06-03,1,243497,2567.9408158978736
75,2020,0,NA,Vigente,37,18,578,F,Jalisco,53448,Chevrolet,Equinox,SUV,2007,Directo,2020-08-11,2021-08-11,1,162021,2974.4342244498816
76,2020,0,NA,Vigente,36,18,520,F,Estado de Mexico,50746,Ford,EcoSport,SUV,2015,Digital,2020-05-07,2021-05-07,1,239633,3817.154932649126
77,2020,0,NA,Vigente,34,16,712,M,Tamaulipas,93214,Chevrolet,Equinox,SUV,2014,Agente,2020-05-02,2021-05-02,1,272843,3170.934897800767
78,2020,0,NA,Vigente,19,0,593,M,Ciudad de Mexico,04234,Volkswagen,Jetta,Sedan,2011,Digital,2020-06-14,2021-06-14,1,190036,4079.7170456886856
79,2020,0,NA,Vigente,40,22,638,F,Veracruz,91112,Ford,EcoSport,SUV,2017,Agente,2020-09-18,2021-09-18,1,311369,2990.2598357112997
80,2020,0,NA,Vigente,38,20,534,F,Guanajuato,45358,Nissan,Sentra,Sedan,2010,Banco,2020-11-07,2021-11-07,1,152353,2118.2292944680867
81,2020,0,NA,No Renovada,33,11,535,F,Jalisco,49257,Honda,Civic,Sedan,2014,Agente,2020-02-09,2021-02-09,1,266104,3040.7898035341022
82,2020,0,NA,Vigente,32,14,617,M,Ciudad de Mexico,03118,Chevrolet,Aveo,Sedan,2014,Agente,2020-05-01,2021-05-01,1,143970,3157.975320074442
83,2020,0,NA,Vigente,44,26,648,M,Sonora,83748,Volkswagen,Jetta,Sedan,2016,Banco,2020-12-04,2021-12-04,1,250686,2351.3371338785964
84,2020,0,NA,No Renovada,42,24,707,F,Baja California,21461,Chevrolet,Aveo,Sedan,2015,Directo,2020-04-30,2021-04-30,1,139486,2087.070782350262
85,2020,0,NA,Vigente,37,19,670,M,Coahuila,30023,Volkswagen,Vento,Sedan,2014,Banco,2020-09-09,2021-09-09,1,179290,2182.819034604103
86,2020,0,NA,Vigente,43,25,691,F,Guanajuato,43024,Nissan,March,Hatchback,2013,Agente,2020-02-15,2021-02-15,1,107954,1822.6777542602674
87,2020,0,NA,No Renovada,25,6,645,F,Sonora,91459,Kia,Rio,Sedan,2007,Directo,2020-09-26,2021-09-26,1,79645,2131.294059784845
88,2020,0,NA,Vigente,37,19,720,M,Coahuila,27783,Honda,City,Sedan,2014,Digital,2020-05-31,2021-05-31,1,169663,2159.821484994383
89,2020,0,NA,No Renovada,29,11,673,F,Coahuila,25730,Toyota,Yaris,Hatchback,2004,Agente,2020-08-25,2021-08-25,1,97099,1977.7528366231893
90,2020,0,NA,Vigente,41,21,648,F,Coahuila,30235,Toyota,Yaris,Hatchback,2009,Agente,2020-01-22,2021-01-22,1,123207,1856.9395203487982
91,2020,0,NA,Vigente,35,16,692,F,Coahuila,26739,Honda,Civic,Sedan,2018,Directo,2020-05-01,2021-05-01,1,260011,2373.157092650088
92,2020,0,NA,Vigente,27,9,725,M,Nuevo Leon,69302,Seat,Ibiza,Hatchback,2010,Agente,2020-03-05,2021-03-05,1,127805,2378.1955329281873
93,2020,0,NA,Vigente,35,15,582,M,Jalisco,47289,Nissan,Sentra,Sedan,2009,Directo,2020-08-27,2021-08-27,1,120564,2362.994592029344
94,2020,0,NA,No Renovada,43,25,582,F,Nuevo Leon,71197,Ford,Fiesta,Hatchback,2008,Agente,2020-10-07,2021-10-07,1,79868,2035.4999541639204
95,2020,0,NA,Vigente,32,14,576,F,Coahuila,26177,Volkswagen,Jetta,Sedan,2013,Agente,2020-06-10,2021-06-10,1,170463,2377.909523942547
96,2020,0,NA,Vigente,25,6,620,F,Guanajuato,41718,Volkswagen,Jetta,Sedan,2012,Banco,2020-06-24,2021-06-24,1,223424,2516.0662343592317
97,2020,0,NA,Vigente,37,19,673,M,Michoacan,62179,Ford,Fiesta,Hatchback,2008,Agente,2020-05-07,2021-05-07,1,91499,1785.0679905944937
98,2020,0,NA,Vigente,43,24,632,F,Coahuila,27615,Ford,Fiesta,Hatchback,2006,Banco,2020-11-26,2021-11-26,1,84552,1768.925553750989
99,2020,0,NA,Vigente,47,28,631,F,Nuevo Leon,72681,Chevrolet,Equinox,SUV,2011,Agente,2020-12-18,2021-12-18,1,158595,2962.9976286329766
100,2020,0,NA,Vigente,38,19,685,F,Coahuila,25936,Chevrolet,Aveo,Sedan,2014,Banco,2020-09-16,2021-09-16,1,120276,2040.0580443500603
101,2020,0,NA,Vigente,36,18,NA,F,Baja California,25594,Hyundai,Accent,Sedan,2016,Agente,2020-02-07,2021-02-07,1,132624,2070.3526619130853
102,2020,0,NA,Vigente,43,22,683,F,Estado de Mexico,51737,Chevrolet,Equinox,SUV,2011,Agente,2020-05-27,2021-05-27,1,180008,3585.8738810469004
103,2020,0,NA,No Renovada,44,26,669,M,Coahuila,27722,Toyota,Yaris,Hatchback,2012,Digital,2020-09-02,2021-09-02,1,150731,1917.745036499647
104,2020,0,NA,Vigente,35,17,595,M,Coahuila,28202,Volkswagen,Vento,Sedan,2012,Agente,2020-11-16,2021-11-16,1,171198,2163.4942723804784
105,2020,0,NA,No Renovada,43,23,646,M,Veracruz,99773,Nissan,Versa,Sedan,2014,Digital,2020-09-22,2021-09-22,1,129514,2062.749536336544
106,2020,0,NA,Vigente,39,16,NA,M,Guanajuato,44705,Nissan,March,Hatchback,2007,Agente,2020-07-24,2021-07-24,1,102542,1810.3928472504217
107,2020,0,NA,Vigente,39,21,700,F,Michoacan,61886,Ford,EcoSport,SUV,2014,Banco,2020-02-14,2021-02-14,1,241698,2795.270503577961
108,2020,0,NA,Vigente,34,16,609,M,Coahuila,25138,Volkswagen,Jetta,Sedan,2008,Banco,2020-10-02,2021-10-02,1,180909,2405.3461512270997
109,2020,0,NA,Vigente,28,10,NA,M,Michoacan,65831,Ford,Fiesta,Hatchback,2015,Banco,2020-10-02,2021-10-02,1,110364,2010.937363805156
110,2020,0,NA,Vigente,31,11,678,F,Michoacan,64237,Chevrolet,Equinox,SUV,2011,Agente,2020-02-19,2021-02-19,1,171457,2855.5505502733254
111,2020,0,NA,No Renovada,27,9,706,M,Tamaulipas,95104,Nissan,March,Hatchback,2011,Banco,2020-04-17,2021-04-17,1,100886,1987.2801489897213
112,2020,0,NA,No Renovada,39,21,NA,M,Coahuila,28019,Toyota,Yaris,Hatchback,2012,Directo,2020-07-19,2021-07-19,1,131369,1875.0898585375876
113,2020,0,NA,Vigente,28,10,721,F,Estado de Mexico,59819,Hyundai,Accent,Sedan,2009,Agente,2020-08-15,2021-08-15,1,106218,3018.3035384212717
114,2020,0,NA,Vigente,34,16,661,F,Coahuila,33296,Kia,Rio,Sedan,2013,Agente,2020-05-11,2021-05-11,1,130475,2271.610829075571
115,2020,0,NA,Vigente,50,30,594,M,Estado de Mexico,53473,Chevrolet,Aveo,Sedan,2009,Agente,2020-12-16,2021-12-16,1,84398,3201.848377940913
116,2020,0,NA,Vigente,30,12,NA,M,Jalisco,45452,Hyundai,Accent,Sedan,2015,Banco,2020-12-07,2021-12-07,1,149745,2689.9345792489153
117,2020,0,NA,No Renovada,49,28,754,M,Veracruz,95921,Volkswagen,Jetta,Sedan,2011,Banco,2020-08-31,2021-08-31,1,162401,2142.413109595274
118,2020,0,NA,No Renovada,31,13,665,F,Coahuila,28321,Mazda,Mazda3,Sedan,2014,Agente,2020-03-31,2021-03-31,1,147306,2316.6383808278256
119,2020,0,NA,Vigente,33,13,621,M,Coahuila,29771,Volkswagen,Jetta,Sedan,2016,Directo,2020-07-05,2021-07-05,1,295932,2702.6278540709854
120,2020,0,NA,Vigente,40,20,646,F,Baja California,23053,Nissan,Versa,Sedan,2010,Agente,2020-05-17,2021-05-17,1,127077,2056.77952634981
121,2020,0,NA,Vigente,46,28,617,M,Coahuila,33131,Toyota,Corolla,Sedan,2016,Agente,2020-01-12,2021-01-12,1,210189,2256.125185961313
122,2020,0,NA,Vigente,18,0,597,M,Ciudad de Mexico,05911,Kia,Rio,Sedan,2013,Directo,2020-11-25,2021-11-25,1,89693,3627.1782248045847
123,2020,0,NA,Vigente,35,16,639,M,Guanajuato,36696,Volkswagen,Polo,Hatchback,2007,Digital,2020-02-11,2021-02-11,1,121916,1854.0579052391918
124,2020,0,NA,No Renovada,27,8,567,M,Coahuila,29895,Mazda,Mazda3,Sedan,2009,Agente,2020-08-27,2021-08-27,1,110570,2217.6223358175034
125,2020,0,NA,No Renovada,28,7,641,F,Coahuila,32084,Volkswagen,Polo,Hatchback,2015,Agente,2020-02-16,2021-02-16,1,134014,2069.043045938977
126,2020,0,NA,Vigente,29,10,521,M,Coahuila,34619,Volkswagen,Jetta,Sedan,2012,Digital,2020-03-27,2021-03-27,1,225122,2520.462778467712
127,2020,0,NA,Vigente,33,15,736,F,Estado de Mexico,51726,Nissan,March,Hatchback,2016,Banco,2020-08-20,2021-08-20,1,128874,2814.1700459081176
128,2020,0,NA,Vigente,25,5,708,F,Coahuila,28035,Toyota,Yaris,Hatchback,2010,Agente,2020-01-04,2021-01-04,1,154002,2117.394188698312
129,2020,0,NA,Vigente,31,13,594,M,Sonora,87476,Volkswagen,Vento,Sedan,2011,Agente,2020-04-24,2021-04-24,1,128204,2265.4959196302075
130,2020,0,NA,Vigente,40,22,645,M,Coahuila,28347,Chevrolet,Aveo,Sedan,2016,Banco,2020-05-31,2021-05-31,1,161488,2140.2204957460094
131,2020,0,NA,Vigente,26,7,641,F,Jalisco,46044,Volkswagen,Polo,Hatchback,2015,Banco,2020-01-23,2021-01-23,1,137094,2404.4058484795205
132,2020,0,NA,Vigente,18,0,605,M,Jalisco,45039,Honda,Civic,Sedan,2005,Directo,2020-02-25,2021-02-25,1,161623,3346.0094451806044
133,2020,0,NA,Vigente,36,18,622,F,Coahuila,31365,Nissan,Sentra,Sedan,2010,Digital,2020-12-05,2021-12-05,1,130286,2064.6384702402684
134,2020,0,NA,Vigente,45,27,676,M,Baja California,27266,Nissan,Versa,Sedan,2015,Agente,2020-06-15,2021-06-15,1,208231,2251.4995763946476
135,2020,0,NA,Vigente,27,9,680,F,Tamaulipas,87814,Toyota,Corolla,Sedan,2010,Digital,2020-02-02,2021-02-02,1,180547,2404.3971607652284
136,2020,0,NA,Vigente,41,23,NA,M,Jalisco,44431,Honda,City,Sedan,2008,Agente,2020-01-06,2021-01-06,1,147660,2439.5583689483565
137,2020,0,NA,Vigente,32,14,535,M,Coahuila,33018,Seat,Ibiza,Hatchback,2009,Agente,2020-01-21,2021-01-21,1,110285,2010.741190015574
138,2020,0,NA,Vigente,29,9,726,F,Ciudad de Mexico,08138,Nissan,Sentra,Sedan,2013,Agente,2020-06-07,2021-06-07,1,154726,3197.1060426525755
139,2020,0,NA,Vigente,22,1,708,M,Nuevo Leon,71895,Honda,City,Sedan,2014,Directo,2020-04-20,2021-04-20,1,177228,3404.4022208047945
140,2020,0,NA,Vigente,38,20,662,M,Veracruz,92928,Honda,City,Sedan,2010,Directo,2020-10-27,2021-10-27,1,175883,2174.6900340146863
141,2020,0,NA,Vigente,29,11,NA,F,Coahuila,34983,Chevrolet,Equinox,SUV,2009,Agente,2020-12-14,2021-12-14,1,213989,2988.7964032472537
142,2020,0,NA,Vigente,46,28,639,F,Estado de Mexico,54739,Honda,City,Sedan,2011,Agente,2020-06-13,2021-06-13,1,143987,2870.94304873322
143,2020,0,NA,No Renovada,46,27,699,M,Estado de Mexico,51443,Volkswagen,Jetta,Sedan,2011,Directo,2020-12-01,2021-12-01,1,184248,3003.1786802413308
144,2020,0,NA,Vigente,39,21,668,M,Coahuila,32416,Hyundai,Accent,Sedan,2013,Directo,2020-12-24,2021-12-24,1,103294,1997.8451098195965
145,2020,0,NA,No Renovada,21,3,733,M,Coahuila,25836,Nissan,Sentra,Sedan,2011,Agente,2020-06-06,2021-06-06,1,172300,2924.2749641496
146,2020,0,NA,Vigente,31,13,487,M,Coahuila,28962,Chevrolet,Aveo,Sedan,2016,Banco,2020-11-06,2021-11-06,1,127633,2263.9568052570135
147,2020,0,NA,Vigente,40,22,697,M,Coahuila,30102,Volkswagen,Jetta,Sedan,2008,Directo,2020-08-28,2021-08-28,1,147826,2107.292861367269
148,2020,0,NA,Vigente,32,14,633,M,Puebla,73507,Honda,Civic,Sedan,2007,Digital,2020-03-28,2021-03-28,1,177609,2396.690472773309
149,2020,0,NA,No Renovada,19,0,609,M,Estado de Mexico,57263,Ford,EcoSport,SUV,2015,Directo,2020-07-29,2021-07-29,1,206953,4982.639401732165
150,2020,0,NA,No Renovada,40,22,713,M,Coahuila,26456,Honda,Civic,Sedan,2009,Agente,2020-06-19,2021-06-19,1,241000,2328.63548383392
151,2020,0,NA,Vigente,34,16,694,M,Nuevo Leon,64959,Volkswagen,Jetta,Sedan,2015,Agente,2020-03-06,2021-03-06,1,178616,2778.174919670355
152,2020,0,NA,Vigente,29,10,754,M,Coahuila,33460,Volkswagen,Vento,Sedan,2010,Digital,2020-02-11,2021-02-11,1,114763,2229.0747910811524
153,2020,0,NA,No Renovada,32,13,732,F,Coahuila,28498,Chevrolet,Equinox,SUV,2015,Directo,2020-03-28,2021-03-28,1,275628,3179.5093238443437
154,2020,0,NA,Vigente,39,21,604,F,Jalisco,45182,Chevrolet,Aveo,Sedan,2014,Agente,2020-04-05,2021-04-05,1,109011,2329.8440308169224
155,2020,0,NA,Vigente,38,20,NA,M,Coahuila,27365,Chevrolet,Aveo,Sedan,2014,Banco,2020-04-25,2021-04-25,1,111726,2018.895006841668
156,2020,0,NA,Vigente,29,10,NA,M,Ciudad de Mexico,07461,Nissan,Versa,Sedan,2018,Agente,2020-01-05,2021-01-05,1,196950,3348.9109508774704
157,2020,0,NA,Vigente,39,21,665,M,Coahuila,28303,Seat,Ibiza,Hatchback,2009,Agente,2020-07-12,2021-07-12,1,106864,1820.2095137282563
158,2020,0,NA,Vigente,28,10,656,M,Estado de Mexico,52008,Nissan,Versa,Sedan,2013,Agente,2020-05-20,2021-05-20,1,146669,3167.816344590499
159,2020,0,NA,Vigente,27,9,665,M,Chihuahua,32760,Volkswagen,Vento,Sedan,2009,Directo,2020-11-13,2021-11-13,1,161397,2354.002094649628
160,2020,0,NA,No Renovada,39,19,551,M,Baja California,26952,Mazda,Mazda3,Sedan,2013,Agente,2020-01-19,2021-01-19,1,157095,2129.6573218009994
161,2020,0,NA,Vigente,31,13,754,F,Coahuila,33476,Volkswagen,Jetta,Sedan,2009,Banco,2020-02-18,2021-02-18,1,200983,2457.791153188353
162,2020,0,NA,Vigente,38,20,629,F,Coahuila,29231,Volkswagen,Vento,Sedan,2015,Agente,2020-06-16,2021-06-16,1,150648,2114.1134556461475
163,2020,0,NA,Vigente,47,26,666,F,Coahuila,31890,Volkswagen,Jetta,Sedan,2009,Directo,2020-09-29,2021-09-29,1,170051,2160.75007036019
164,2020,0,NA,No Renovada,35,17,682,M,Estado de Mexico,59706,Ford,EcoSport,SUV,2013,Agente,2020-04-01,2021-04-01,1,159202,3504.1207528858295
165,2020,0,NA,Vigente,40,21,591,M,Estado de Mexico,53376,Honda,Civic,Sedan,2013,Agente,2020-07-02,2021-07-02,1,241809,3189.1505769271926
