siniestro_id,anio_ocurrencia,anio_desarrollo,anio_calendario,numero_pago,monto_pago,monto_acumulado
18,2020,4,2024,5,70.88,4619.77
21,2020,0,2020,1,6045.63,6045.63
21,2020,1,2021,2,2482.06,8527.69
21,2020,2,2022,3,1101.98,9629.67
21,2020,3,2023,4,499.57,10129.24
21,2020,4,2024,5,68.54,10197.78
22,2020,0,2020,1,547.97,547.97
22,2020,1,2021,2,250.54,798.51
22,2020,2,2022,3,67.01,865.52
22,2020,3,2023,4,33.82,899.34
22,2020,4,2024,5,24.31,923.65
23,2020,0,2020,1,60977.96,60977.96
23,2020,1,2021,2,29862.57,90840.54
23,2020,2,2022,3,8390.08,99230.61
23,2020,3,2023,4,8191.92,107422.53
23,2020,4,2024,5,423.69,107846.22
24,2020,0,2020,1,1969.81,1969.81
24,2020,1,2021,2,1050.81,3020.62
24,2020,2,2022,3,350.89,3371.51
24,2020,3,2023,4,33.26,3404.77
24,2020,4,2024,5,0,3404.77
25,2020,0,2020,1,3761.02,3761.02
25,2020,1,2021,2,1744.17,5505.19
25,2020,2,2022,3,431.8,5936.99
25,2020,3,2023,4,407.85,6344.84
25,2020,4,2024,5,57.47,6402.31
26,2020,0,2020,1,5650.11,5540.58
26,2020,1,2021,2,2910.68,8394.83
26,2020,2,2022,3,769.21,9149.13
26,2020,3,2023,4,391.31,9532.85
26,2020,4,2024,5,130.97,9661.28
28,2020,0,2020,1,4467.25,4393.12
28,2020,1,2021,2,2008.25,6368.03
28,2020,2,2022,3,654.48,7011.65
28,2020,3,2023,4,295.37,7302.13
28,2020,4,2024,5,107.41,7407.75
29,2020,0,2020,1,5262.87,5262.87
29,2020,1,2021,2,1857.57,7120.44
29,2020,2,2022,3,1196.24,8316.68
29,2020,3,2023,4,80.81,8397.49
29,2020,4,2024,5,66.92,8464.41
33,2020,0,2020,1,10866.87,10815.51
33,2020,1,2021,2,4435.7,15230.24
33,2020,2,2022,3,3250.11,18464.99
33,2020,3,2023,4,54.49,18519.22
33,2020,4,2024,5,22.13,18541.25
34,2020,0,2020,1,4847.94,4847.94
34,2020,1,2021,2,2001.58,6849.52
34,2020,2,2022,3,575.03,7424.55
34,2020,3,2023,4,671.98,8096.54
34,2020,4,2024,5,59,8155.54
35,2020,0,2020,1,5051.97,5051.97
35,2020,1,2021,2,1653.34,6705.31
35,2020,2,2022,3,932.25,7637.55
35,2020,3,2023,4,351.4,7988.96
35,2020,4,2024,5,215.6,8204.56
36,2020,0,2020,1,2042.37,2042.37
36,2020,1,2021,2,896.36,2938.74
36,2020,2,2022,3,376.71,3315.45
36,2020,3,2023,4,59.5,3374.95
36,2020,4,2024,5,78.36,3453.31
38,2020,0,2020,1,9134.28,9134.28
38,2020,1,2021,2,3499.94,12634.22
38,2020,2,2022,3,1794.08,14428.3
38,2020,3,2023,4,480.25,14908.55
38,2020,4,2024,5,0,14908.55
39,2020,0,2020,1,4142.43,4080.04
39,2020,1,2021,2,1344.5,5404.29
39,2020,2,2022,3,625.97,6020.82
39,2020,3,2023,4,135.01,6153.8
39,2020,4,2024,5,120.56,6272.54
40,2020,0,2020,1,4126.01,4126.01
40,2020,1,2021,2,1949.11,6075.11
40,2020,2,2022,3,806.95,6882.07
40,2020,3,2023,4,88.57,6970.64
40,2020,4,2024,5,168.67,7139.31
41,2020,0,2020,1,15494,15494
41,2020,1,2021,2,6921.38,22415.38
41,2020,2,2022,3,2519.62,24935
41,2020,3,2023,4,120.86,25055.87
41,2020,4,2024,5,1018.89,26074.76
42,2020,0,2020,1,9433.16,9433.16
42,2020,1,2021,2,4091.12,13524.27
42,2020,2,2022,3,1982.53,15506.8
42,2020,3,2023,4,501.28,16008.09
42,2020,4,2024,5,422.38,16430.47
44,2020,0,2020,1,12295.36,12295.36
44,2020,1,2021,2,5277.3,17572.66
44,2020,2,2022,3,2438.63,20011.29
44,2020,3,2023,4,1124.29,21135.58
44,2020,4,2024,5,83.89,21219.47
45,2020,0,2020,1,6151.41,6151.41
45,2020,1,2021,2,2112.47,8263.88
45,2020,2,2022,3,1314.43,9578.32
45,2020,3,2023,4,382.98,9961.3
45,2020,4,2024,5,0,9961.3
46,2020,0,2020,1,13953.92,13953.92
46,2020,1,2021,2,3993.28,17947.2
46,2020,2,2022,3,3609.49,21556.69
46,2020,3,2023,4,727.97,22284.66
46,2020,4,2024,5,0,22284.66
47,2020,0,2020,1,5418.94,5418.94
47,2020,1,2021,2,2208.96,7627.91
47,2020,2,2022,3,568.36,8196.26
47,2020,3,2023,4,617.94,8814.2
47,2020,4,2024,5,0,8814.2
48,2020,0,2020,1,3447.6,3434.59
48,2020,1,2021,2,1196.01,4626.09
48,2020,2,2022,3,602.06,5225.88
48,2020,3,2023,4,220.37,5445.42
48,2020,4,2024,5,108.03,5553.05
49,2020,0,2020,1,4009.86,4009.86
49,2020,1,2021,2,1730.4,5740.26
49,2020,2,2022,3,800,6540.25
49,2020,3,2023,4,227.1,6767.35
49,2020,4,2024,5,0,6767.35
51,2020,0,2020,1,1834.94,1834.94
51,2020,1,2021,2,857.74,2692.68
51,2020,2,2022,3,282.59,2975.27
51,2020,3,2023,4,120.05,3095.33
51,2020,4,2024,5,35.06,3130.39
52,2020,0,2020,1,11909.15,11909.15
52,2020,1,2021,2,5224.95,17134.1
52,2020,2,2022,3,2919.05,20053.15
52,2020,3,2023,4,861.88,20915.03
52,2020,4,2024,5,0,20915.03
54,2020,0,2020,1,36348.7,36348.7
54,2020,1,2021,2,13694.79,50043.49
54,2020,2,2022,3,9064.92,59108.4
54,2020,3,2023,4,942.44,60050.84
54,2020,4,2024,5,0,60050.84
56,2020,0,2020,1,9681.45,9547.9
56,2020,1,2021,2,4018.5,13510.97
56,2020,2,2022,3,1809.75,15295.75
56,2020,3,2023,4,112.76,15406.96
56,2020,4,2024,5,135.18,15540.28
57,2020,0,2020,1,5429.82,5339.5
57,2020,1,2021,2,2297.56,7598.84
57,2020,2,2022,3,1069.29,8650.35
57,2020,3,2023,4,31.56,8681.38
57,2020,4,2024,5,154.72,8833.53
58,2020,0,2020,1,9000.33,8871.9
58,2020,1,2021,2,3697.37,12516.51
58,2020,2,2022,3,1221.85,13720.93
58,2020,3,2023,4,497.86,14211.68
58,2020,4,2024,5,207.29,14416.02
59,2020,0,2020,1,17980.01,17663.08
59,2020,1,2021,2,7564.28,25094.04
59,2020,2,2022,3,2087.26,27144.5
59,2020,3,2023,4,1423.11,28542.53
59,2020,4,2024,5,401.1,28936.56
60,2020,0,2020,1,34425.24,34425.24
60,2020,1,2021,2,15758.18,50183.41
60,2020,2,2022,3,6891.19,57074.61
60,2020,3,2023,4,1297.4,58372
60,2020,4,2024,5,2287.05,60659.05
61,2020,0,2020,1,4799.65,4786.99
61,2020,1,2021,2,2124.85,6906.23
61,2020,2,2022,3,557.58,7462.34
61,2020,3,2023,4,573.72,8034.54
61,2020,4,2024,5,102.82,8137.09
62,2020,0,2020,1,23152.3,23152.3
62,2020,1,2021,2,8263.12,31415.42
62,2020,2,2022,3,4856.19,36271.61
62,2020,3,2023,4,496.15,36767.77
62,2020,4,2024,5,1594.7,38362.47
63,2020,0,2020,1,923.28,923.28
63,2020,1,2021,2,370.53,1293.81
63,2020,2,2022,3,158.5,1452.31
63,2020,3,2023,4,61.14,1513.45
63,2020,4,2024,5,28.61,1542.06
64,2020,0,2020,1,9311.11,9311.11
64,2020,1,2021,2,3882.12,13193.23
64,2020,2,2022,3,267.55,13460.78
64,2020,3,2023,4,1271.06,14731.84
64,2020,4,2024,5,0,14731.84
66,2020,0,2020,1,25042.18,25042.18
66,2020,1,2021,2,10909.97,35952.15
66,2020,2,2022,3,4174.14,40126.29
66,2020,3,2023,4,3318.86,43445.14
66,2020,4,2024,5,58.9,43504.04
67,2020,0,2020,1,5735.15,5735.15
67,2020,1,2021,2,2021.98,7757.13
67,2020,2,2022,3,1617.71,9374.84
67,2020,3,2023,4,52.14,9426.98
67,2020,4,2024,5,273.53,9700.51
68,2020,0,2020,1,3797.5,3790.28
68,2020,1,2021,2,1846.85,5633.62
68,2020,2,2022,3,157.69,5791.01
68,2020,3,2023,4,697.62,6487.3
68,2020,4,2024,5,56.76,6543.96
69,2020,0,2020,1,1837.79,1837.79
69,2020,1,2021,2,633.12,2470.91
69,2020,2,2022,3,516.14,2987.05
69,2020,3,2023,4,0,2987.05
69,2020,4,2024,5,0,2987.05
70,2020,0,2020,1,5049.04,4993.91
70,2020,1,2021,2,2064.23,7035.6
70,2020,2,2022,3,963.55,7988.63
70,2020,3,2023,4,74.73,8062.54
70,2020,4,2024,5,140.96,8201.96
72,2020,0,2020,1,2649.05,2649.05
72,2020,1,2021,2,1012.64,3661.69
72,2020,2,2022,3,516.82,4178.51
72,2020,3,2023,4,231.77,4410.28
72,2020,4,2024,5,61.07,4471.35
73,2020,0,2020,1,12212.23,12212.23
73,2020,1,2021,2,4558.97,16771.2
73,2020,2,2022,3,2040.15,18811.34
73,2020,3,2023,4,1018.26,19829.6
73,2020,4,2024,5,0,19829.6
74,2020,0,2020,1,10035.09,10035.09
74,2020,1,2021,2,2886.34,12921.43
74,2020,2,2022,3,997.85,13919.28
74,2020,3,2023,4,1749.52,15668.8
74,2020,4,2024,5,16.64,15685.44
76,2020,0,2020,1,9984.68,9984.68
76,2020,1,2021,2,3258.22,13242.9
76,2020,2,2022,3,2180.17,15423.08
76,2020,3,2023,4,208.35,15631.43
76,2020,4,2024,5,254.96,15886.39
77,2020,0,2020,1,8747.64,8747.64
77,2020,1,2021,2,4114.04,12861.68
77,2020,2,2022,3,1203.75,14065.43
77,2020,3,2023,4,555.25,14620.68
77,2020,4,2024,5,92.29,14712.97
78,2020,0,2020,1,6028.76,6028.76
78,2020,1,2021,2,2141.34,8170.11
78,2020,2,2022,3,1345.28,9515.39
78,2020,3,2023,4,94.74,9610.13
78,2020,4,2024,5,99.93,9710.06
79,2020,0,2020,1,38085.35,38085.35
79,2020,1,2021,2,14982.54,53067.9
79,2020,2,2022,3,10545.71,63613.6
79,2020,3,2023,4,1478.14,65091.74
79,2020,4,2024,5,0,65091.74
80,2020,0,2020,1,2725.53,2598.27
80,2020,1,2021,2,1092.36,3639.62
80,2020,2,2022,3,285.36,3911.66
80,2020,3,2023,4,43.29,3952.93
80,2020,4,2024,5,116.54,4064.03
82,2020,0,2020,1,3580.45,3580.45
82,2020,1,2021,2,1331.32,4911.76
82,2020,2,2022,3,545.18,5456.95
82,2020,3,2023,4,14.93,5471.87
82,2020,4,2024,5,325.37,5797.24
83,2020,0,2020,1,11224.31,11106.84
83,2020,1,2021,2,4937.68,15992.84
83,2020,2,2022,3,1906.44,17879.33
83,2020,3,2023,4,199.54,18076.78
83,2020,4,2024,5,21.27,18097.83
84,2020,0,2020,1,899.32,891.19
84,2020,1,2021,2,339.54,1227.65
84,2020,2,2022,3,199.01,1424.86
84,2020,3,2023,4,29.18,1453.78
84,2020,4,2024,5,31.41,1484.9
85,2020,0,2020,1,3753.11,3753.11
85,2020,1,2021,2,1217.54,4970.65
85,2020,2,2022,3,1039.98,6010.62
85,2020,3,2023,4,60.4,6071.02
85,2020,4,2024,5,0,6071.02
86,2020,0,2020,1,7869.12,7869.12
86,2020,1,2021,2,2877.95,10747.07
86,2020,2,2022,3,1102.01,11849.08
86,2020,3,2023,4,383.39,12232.47
86,2020,4,2024,5,410.74,12643.21
87,2020,0,2020,1,7598.37,7495.48
87,2020,1,2021,2,2803.14,10260.66
87,2020,2,2022,3,801.65,11051.45
87,2020,3,2023,4,577.74,11621.37
87,2020,4,2024,5,216.19,11834.63
89,2020,0,2020,1,13744.62,13703.4
89,2020,1,2021,2,4205.8,17896.58
89,2020,2,2022,3,2764.86,20653.15
89,2020,3,2023,4,599.26,21250.61
89,2020,4,2024,5,49.83,21300.29
90,2020,0,2020,1,18457.41,18457.41
90,2020,1,2021,2,7014.78,25472.19
90,2020,2,2022,3,2411.45,27883.64
90,2020,3,2023,4,846.71,28730.35
90,2020,4,2024,5,1366.01,30096.36
92,2020,0,2020,1,6842.22,6842.22
92,2020,1,2021,2,2425.73,9267.95
92,2020,2,2022,3,1550.92,10818.87
92,2020,3,2023,4,250.16,11069.03
92,2020,4,2024,5,283.35,11352.38
93,2020,0,2020,1,2551.33,2551.33
93,2020,1,2021,2,809.34,3360.66
93,2020,2,2022,3,481.9,3842.57
93,2020,3,2023,4,270.86,4113.43
93,2020,4,2024,5,0,4113.43
94,2020,0,2020,1,1579.88,1579.88
94,2020,1,2021,2,720.64,2300.52
94,2020,2,2022,3,223.28,2523.8
94,2020,3,2023,4,131.65,2655.46
94,2020,4,2024,5,76.15,2731.61
95,2020,0,2020,1,2557.57,2520.63
95,2020,1,2021,2,1160.03,3663.89
95,2020,2,2022,3,422.8,4080.59
95,2020,3,2023,4,96.27,4175.47
95,2020,4,2024,5,64.92,4239.45
96,2020,0,2020,1,5032.27,5032.27
96,2020,1,2021,2,2070.74,7103.01
96,2020,2,2022,3,715.78,7818.8
96,2020,3,2023,4,279.7,8098.5
96,2020,4,2024,5,221.13,8319.63
97,2020,0,2020,1,14606.38,14606.38
97,2020,1,2021,2,5177.73,19784.11
97,2020,2,2022,3,2510.64,22294.75
97,2020,3,2023,4,1296.68,23591.43
97,2020,4,2024,5,0,23591.43
98,2020,0,2020,1,8598.12,8598.12
98,2020,1,2021,2,4268.17,12866.29
98,2020,2,2022,3,2058.16,14924.45
98,2020,3,2023,4,81.19,15005.64
98,2020,4,2024,5,578.23,15583.87
100,2020,0,2020,1,10483.22,10483.22
100,2020,1,2021,2,5042.98,15526.2
100,2020,2,2022,3,2610.13,18136.33
100,2020,3,2023,4,342.14,18478.48
100,2020,4,2024,5,34.86,18513.34
101,2020,0,2020,1,372.99,372.99
101,2020,1,2021,2,186.14,559.13
101,2020,2,2022,3,86.04,645.17
101,2020,3,2023,4,4.67,649.84
101,2020,4,2024,5,0,649.84
102,2020,0,2020,1,3507.82,3507.82
102,2020,1,2021,2,1496.19,5004.01
102,2020,2,2022,3,711.69,5715.69
102,2020,3,2023,4,62.06,5777.76
102,2020,4,2024,5,180.69,5958.45
103,2020,0,2020,1,17398.5,17398.5
103,2020,1,2021,2,6344.36,23742.86
103,2020,2,2022,3,4373.22,28116.08
103,2020,3,2023,4,1211.47,29327.55
103,2020,4,2024,5,0,29327.55
105,2020,0,2020,1,12850.38,12850.38
105,2020,1,2021,2,4130.74,16981.12
105,2020,2,2022,3,2701.31,19682.43
105,2020,3,2023,4,835.73,20518.16
105,2020,4,2024,5,103.1,20621.26
106,2020,0,2020,1,6576.59,6475.56
106,2020,1,2021,2,2154.2,8596.67
106,2020,2,2022,3,1187.71,9766.14
106,2020,3,2023,4,597.83,10354.79
106,2020,4,2024,5,12.38,10366.98
107,2020,0,2020,1,139777.27,139777.27
107,2020,1,2021,2,59968.61,199745.87
107,2020,2,2022,3,25178.17,224924.04
107,2020,3,2023,4,10197.88,235121.92
107,2020,4,2024,5,1549.76,236671.68
110,2020,0,2020,1,1345.81,1345.81
110,2020,1,2021,2,728.84,2074.65
110,2020,2,2022,3,172.23,2246.88
110,2020,3,2023,4,86.55,2333.43
110,2020,4,2024,5,0,2333.43
112,2020,0,2020,1,9309.19,9147.46
112,2020,1,2021,2,3924.58,13003.85
112,2020,2,2022,3,986.29,13973.01
112,2020,3,2023,4,611.55,14573.94
112,2020,4,2024,5,78.19,14650.77
113,2020,0,2020,1,18312.74,18312.74
113,2020,1,2021,2,7386.85,25699.59
113,2020,2,2022,3,3798.66,29498.25
113,2020,3,2023,4,45.99,29544.24
113,2020,4,2024,5,959.95,30504.19
114,2020,0,2020,1,8668.56,8668.56
114,2020,1,2021,2,3690.62,12359.18
114,2020,2,2022,3,947.22,13306.41
114,2020,3,2023,4,905.77,14212.18
114,2020,4,2024,5,129.87,14342.05
115,2020,0,2020,1,10938.88,10938.88
115,2020,1,2021,2,4477.67,15416.55
115,2020,2,2022,3,804.02,16220.57
115,2020,3,2023,4,1338.01,17558.59
115,2020,4,2024,5,205.25,17763.84
116,2020,0,2020,1,30396.18,30396.18
116,2020,1,2021,2,10492.93,40889.11
116,2020,2,2022,3,6928.36,47817.47
116,2020,3,2023,4,1107.24,48924.71
116,2020,4,2024,5,1185.93,50110.64
118,2020,0,2020,1,6361.9,6354.93
118,2020,1,2021,2,2517.8,8869.97
118,2020,2,2022,3,966.18,9835.09
118,2020,3,2023,4,178.83,10013.73
118,2020,4,2024,5,416.59,10429.87
119,2020,0,2020,1,18942.03,18942.03
119,2020,1,2021,2,8007.13,26949.16
119,2020,2,2022,3,611.12,27560.28
119,2020,3,2023,4,3231.58,30791.86
119,2020,4,2024,5,1378.32,32170.18
120,2020,0,2020,1,5571.71,5525.31
120,2020,1,2021,2,2099.63,7607.46
120,2020,2,2022,3,987.69,8586.92
120,2020,3,2023,4,232.76,8817.75
120,2020,4,2024,5,178.64,8994.9
121,2020,0,2020,1,20284.65,20284.65
121,2020,1,2021,2,8463.67,28748.32
121,2020,2,2022,3,3531.27,32279.59
121,2020,3,2023,4,1851.61,34131.2
121,2020,4,2024,5,0,34131.2
122,2020,0,2020,1,7017.76,7017.76
122,2020,1,2021,2,2113.61,9131.38
122,2020,2,2022,3,1371.89,10503.27
122,2020,3,2023,4,174.2,10677.47
122,2020,4,2024,5,400.85,11078.32
123,2020,0,2020,1,1652.72,1652.72
123,2020,1,2021,2,626.32,2279.04
123,2020,2,2022,3,298.3,2577.34
123,2020,3,2023,4,68.41,2645.75
123,2020,4,2024,5,0,2645.75
124,2020,0,2020,1,4430.5,4223.26
124,2020,1,2021,2,2272.73,6389.68
124,2020,2,2022,3,550.44,6914.38
124,2020,3,2023,4,51.92,6963.87
124,2020,4,2024,5,121.67,7079.85
126,2020,0,2020,1,55473.55,55473.55
126,2020,1,2021,2,17112.43,72585.99
126,2020,2,2022,3,12399.78,84985.77
126,2020,3,2023,4,3905.38,88891.14
126,2020,4,2024,5,377.79,89268.93
127,2020,0,2020,1,22043.93,22043.93
127,2020,1,2021,2,8191.67,30235.6
127,2020,2,2022,3,2508.1,32743.7
127,2020,3,2023,4,3352.5,36096.2
127,2020,4,2024,5,0,36096.2
128,2020,0,2020,1,7634.54,7634.54
128,2020,1,2021,2,3390.37,11024.91
128,2020,2,2022,3,1416.99,12441.9
128,2020,3,2023,4,131.08,12572.98
128,2020,4,2024,5,543.16,13116.14
129,2020,0,2020,1,5353.32,5353.32
129,2020,1,2021,2,2701.97,8055.29
129,2020,2,2022,3,1341.71,9397
129,2020,3,2023,4,70.68,9467.68
129,2020,4,2024,5,17.46,9485.14
131,2020,0,2020,1,18163.32,18163.32
131,2020,1,2021,2,8544.51,26707.83
131,2020,2,2022,3,1735.77,28443.6
131,2020,3,2023,4,1643.38,30086.98
131,2020,4,2024,5,1784.31,31871.29
134,2020,0,2020,1,2456.23,2456.23
134,2020,1,2021,2,1092.25,3548.48
134,2020,2,2022,3,510.63,4059.11
134,2020,3,2023,4,24.81,4083.92
134,2020,4,2024,5,205.51,4289.43
135,2020,0,2020,1,6018.58,6018.58
135,2020,1,2021,2,2080.85,8099.42
135,2020,2,2022,3,1576.78,9676.2
135,2020,3,2023,4,149.42,9825.62
135,2020,4,2024,5,0,9825.62
136,2020,0,2020,1,9772.55,9641.03
136,2020,1,2021,2,4864.88,14440.44
136,2020,2,2022,3,1241.47,15665.2
136,2020,3,2023,4,690.59,16346.5
136,2020,4,2024,5,88.04,16433.35
137,2020,0,2020,1,4040.11,4040.11
137,2020,1,2021,2,1651.19,5691.3
137,2020,2,2022,3,833.16,6524.46
137,2020,3,2023,4,252.77,6777.23
137,2020,4,2024,5,0,6777.23
138,2020,0,2020,1,5566.05,5553.78
138,2020,1,2021,2,2241.45,7790.28
138,2020,2,2022,3,1472.55,9259.57
138,2020,3,2023,4,7.82,9267.38
138,2020,4,2024,5,148.9,9415.95
140,2020,0,2020,1,4174.96,4174.96
140,2020,1,2021,2,1659.41,5834.37
140,2020,2,2022,3,698.4,6532.76
140,2020,3,2023,4,374.81,6907.57
140,2020,4,2024,5,229.43,7137
144,2020,0,2020,1,3163.17,3163.17
144,2020,1,2021,2,1600.01,4763.19
144,2020,2,2022,3,364.45,5127.63
144,2020,3,2023,4,203.03,5330.66
144,2020,4,2024,5,116.28,5446.94
145,2020,0,2020,1,5774.42,5774.42
145,2020,1,2021,2,2524.36,8298.78
145,2020,2,2022,3,909.44,9208.22
145,2020,3,2023,4,455.36,9663.58
145,2020,4,2024,5,14.07,9677.65
146,2020,0,2020,1,2762.06,2756.53
146,2020,1,2021,2,1253.68,4007.7
146,2020,2,2022,3,224.82,4232.07
146,2020,3,2023,4,365.63,4596.96
146,2020,4,2024,5,51.35,4648.21
147,2020,0,2020,1,8828.54,8814.7
147,2020,1,2021,2,3388.11,12197.5
147,2020,2,2022,3,1797.05,13991.74
147,2020,3,2023,4,382.11,14373.25
147,2020,4,2024,5,490.88,14863.36
148,2020,0,2020,1,88113.17,88113.17
148,2020,1,2021,2,32428.86,120542.03
148,2020,2,2022,3,2599.92,123141.94
148,2020,3,2023,4,17586.44,140728.38
148,2020,4,2024,5,1087.55,141815.93
149,2020,0,2020,1,12848.79,12848.79
149,2020,1,2021,2,6309.01,19157.8
149,2020,2,2022,3,2293.79,21451.59
149,2020,3,2023,4,1210.83,22662.42
149,2020,4,2024,5,311.64,22974.06
150,2020,0,2020,1,62038.79,62038.79
150,2020,1,2021,2,25471.3,87510.09
150,2020,2,2022,3,11000.02,98510.11
150,2020,3,2023,4,2183.25,100693.36
150,2020,4,2024,5,1638.76,102332.12
152,2020,0,2020,1,24912.5,24912.5
152,2020,1,2021,2,12045.29,36957.79
152,2020,2,2022,3,3657.17,40614.96
152,2020,3,2023,4,1111.06,41726.02
152,2020,4,2024,5,564.84,42290.86
153,2020,0,2020,1,4494.28,4494.28
153,2020,1,2021,2,1422.86,5917.14
153,2020,2,2022,3,665.07,6582.21
153,2020,3,2023,4,334.43,6916.65
153,2020,4,2024,5,309.16,7225.81
155,2020,0,2020,1,9467.16,9467.16
155,2020,1,2021,2,4191.25,13658.42
155,2020,2,2022,3,2205.01,15863.43
155,2020,3,2023,4,44.52,15907.95
155,2020,4,2024,5,275.26,16183.21
156,2020,0,2020,1,25182.08,25182.08
156,2020,1,2021,2,9765.69,34947.77
156,2020,2,2022,3,3453.12,38400.89
156,2020,3,2023,4,881.34,39282.23
156,2020,4,2024,5,2131.79,41414.02
157,2020,0,2020,1,11783.42,11783.42
157,2020,1,2021,2,4336.84,16120.26
157,2020,2,2022,3,1813.45,17933.72
157,2020,3,2023,4,810.92,18744.64
157,2020,4,2024,5,323.41,19068.05
158,2020,0,2020,1,23061.27,23061.27
158,2020,1,2021,2,9313.11,32374.38
158,2020,2,2022,3,3228.76,35603.14
158,2020,3,2023,4,2255.37,37858.52
158,2020,4,2024,5,261.69,38120.21
159,2020,0,2020,1,2121.81,2121.81
159,2020,1,2021,2,767.31,2889.12
159,2020,2,2022,3,362,3251.12
159,2020,3,2023,4,186.45,3437.57
159,2020,4,2024,5,0,3437.57
160,2020,0,2020,1,25065.92,25065.92
160,2020,1,2021,2,12707.45,37773.36
160,2020,2,2022,3,2921.29,40694.66
160,2020,3,2023,4,1787.36,42482.02
160,2020,4,2024,5,1485.6,43967.62
161,2020,0,2020,1,12556.62,12556.62
161,2020,1,2021,2,5142.97,17699.58
161,2020,2,2022,3,247.23,17946.81
161,2020,3,2023,4,2194.38,20141.19
161,2020,4,2024,5,347.11,20488.3
163,2020,0,2020,1,9016.84,8963.2
163,2020,1,2021,2,3332.29,12275.67
163,2020,2,2022,3,2549.75,14810.25
163,2020,3,2023,4,158.55,14967.85
163,2020,4,2024,5,28.9,14996.58
164,2020,0,2020,1,602.83,602.83
164,2020,1,2021,2,238.77,841.6
164,2020,2,2022,3,101,942.59
164,2020,3,2023,4,51.14,993.74
164,2020,4,2024,5,23.5,1017.24
165,2020,0,2020,1,25863.19,25863.19
165,2020,1,2021,2,9461.88,35325.07
165,2020,2,2022,3,4152.19,39477.26
165,2020,3,2023,4,2424.7,41901.96
